GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
w1,default,Main,7,0,0,0,3,0,2,0,2,0
w1,one,ShoppingCart,11,88,0,4,3,22,2,8,2,6
w1,one,LocalizationService,5,41,0,2,2,13,0,3,0,2
w1,one,MariaDbConnection,6,14,1,3,2,5,1,3,0,2
w1,one,CartService,27,120,2,4,10,29,2,5,0,4
w1,one,Local,3,7,0,0,1,2,1,1,1,1
w1,one,Gui,689,0,4,0,122,0,19,0,17,0
w1,one,HelperClass,0,38,0,0,0,10,0,4,0,4
w1,one,Item,0,22,0,0,0,7,0,4,0,4
